operation,strategy,blockSize,fileSizeInBytes,durationInMs
WRITE,BlockByBlockWithBufferedStream,500,10485760,48
WRITE,BlockByBlockWithBufferedStream,50,10485760,38
WRITE,BlockByBlockWithBufferedStream,5,10485760,97
WRITE,ByteByByteWithBufferedStream,0,10485760,334
WRITE,BlockByBlockWithoutBufferedStream,500,10485760,84
WRITE,BlockByBlockWithoutBufferedStream,50,10485760,766
WRITE,BlockByBlockWithoutBufferedStream,5,10485760,4615
WRITE,ByteByByteWithoutBufferedStream,0,10485760,23601
READ,BlockByBlockWithBufferedStream,500,10485760,10
READ,BlockByBlockWithBufferedStream,50,10485760,21
READ,BlockByBlockWithBufferedStream,5,10485760,33
READ,ByteByByteWithBufferedStream,0,10485760,72
READ,BlockByBlockWithoutBufferedStream,500,10485760,12
READ,BlockByBlockWithoutBufferedStream,50,10485760,98
READ,BlockByBlockWithoutBufferedStream,5,10485760,906
READ,ByteByByteWithoutBufferedStream,0,10485760,3801
